Loading weights:   0%|          | 0/132 [00:00<?, ?it/s]Loading weights: 100%|██████████| 132/132 [00:00<00:00, 5422.98it/s]
loaded LiquidAI/LFM2.5-230M params=229.7M device=mps eos=[7] in 0.4s
[     6s] seed=0 R_d2_name                  0/1 tok=459
[     7s] seed=0 R_d2_name__ctrl            0/1 tok=40
[    12s] seed=0 R_d2_number                0/1 tok=370
[    13s] seed=0 R_d2_number__ctrl          0/1 tok=29
[    22s] seed=0 R_d4_pet                   1/1 tok=753
[    23s] seed=0 R_d4_pet__ctrl             1/1 tok=30
[    31s] seed=0 R_d4_city                  1/1 tok=659
[    32s] seed=0 R_d4_city__ctrl            1/1 tok=30
[    44s] seed=0 R_d6_name                  0/1 tok=919
[    44s] seed=0 R_d6_name__ctrl            0/1 tok=28
[    59s] seed=0 R_d6_number                0/1 tok=1034
[    60s] seed=0 R_d6_number__ctrl          0/1 tok=35
[    79s] seed=0 R_d10_pet                  0/1 tok=1488
[    79s] seed=0 R_d10_pet__ctrl            1/1 tok=28
[    90s] seed=0 R_d5_multi                 0/3 tok=819
[    91s] seed=0 R_d5_multi__ctrl           3/3 tok=47
[    91s] seed=0 F_ellipsis_capital         2/2 tok=38
[    92s] seed=0 F_ellipsis_capital__ctrl   1/1 tok=16
[    94s] seed=0 F_translate                1/2 tok=100
[    94s] seed=0 F_translate__ctrl          0/1 tok=21
[    97s] seed=0 F_coref_she                1/1 tok=199
[    97s] seed=0 F_coref_she__ctrl          1/1 tok=29
[   100s] seed=0 F_whynot                   1/1 tok=146
[   101s] seed=0 F_whynot__ctrl             1/1 tok=21
[   103s] seed=0 F_shorter                  1/1 tok=88
[   103s] seed=0 F_shorter__ctrl            1/1 tok=21
[   107s] seed=0 I_one_sentence             1/3 tok=303
[   107s] seed=0 I_one_sentence__ctrl       1/1 tok=19
[   110s] seed=0 I_end_question             3/3 tok=259
[   111s] seed=0 I_end_question__ctrl       1/1 tok=31
[   113s] seed=0 I_caps                     3/3 tok=207
[   114s] seed=0 I_caps__ctrl               1/1 tok=20
[   117s] seed=0 I_persona                  5/5 tok=305
[   117s] seed=0 I_persona__ctrl            1/2 tok=40
