Loading weights:   0%|          | 0/272 [00:00<?, ?it/s]Loading weights: 100%|██████████| 272/272 [00:00<00:00, 8678.71it/s]
loaded HuggingFaceTB/SmolLM2-135M-Instruct params=134.5M device=mps eos=[2] in 1.0s
[     6s] seed=0 R_d2_name                  1/1 tok=400
[     6s] seed=0 R_d2_name__ctrl            0/1 tok=61
[    11s] seed=0 R_d2_number                0/1 tok=415
[    11s] seed=0 R_d2_number__ctrl          0/1 tok=52
[    20s] seed=0 R_d4_pet                   1/1 tok=775
[    21s] seed=0 R_d4_pet__ctrl             1/1 tok=51
[    29s] seed=0 R_d4_city                  0/1 tok=690
[    30s] seed=0 R_d4_city__ctrl            1/1 tok=49
[    38s] seed=0 R_d6_name                  0/1 tok=799
[    39s] seed=0 R_d6_name__ctrl            0/1 tok=49
[    54s] seed=0 R_d6_number                1/1 tok=1064
[    56s] seed=0 R_d6_number__ctrl          1/1 tok=57
[    80s] seed=0 R_d10_pet                  0/1 tok=1461
[    80s] seed=0 R_d10_pet__ctrl            0/1 tok=49
[    93s] seed=0 R_d5_multi                 1/3 tok=927
[    94s] seed=0 R_d5_multi__ctrl           1/3 tok=68
[    95s] seed=0 F_ellipsis_capital         2/2 tok=60
[    95s] seed=0 F_ellipsis_capital__ctrl   1/1 tok=37
[    98s] seed=0 F_translate                0/2 tok=216
[   100s] seed=0 F_translate__ctrl          1/1 tok=41
[   102s] seed=0 F_coref_she                0/1 tok=133
[   102s] seed=0 F_coref_she__ctrl          0/1 tok=50
[   106s] seed=0 F_whynot                   1/1 tok=218
[   108s] seed=0 F_whynot__ctrl             0/1 tok=42
[   109s] seed=0 F_shorter                  1/1 tok=133
[   110s] seed=0 F_shorter__ctrl            0/1 tok=42
[   112s] seed=0 I_one_sentence             1/3 tok=200
[   112s] seed=0 I_one_sentence__ctrl       1/1 tok=40
[   113s] seed=0 I_end_question             0/3 tok=157
[   114s] seed=0 I_end_question__ctrl       0/1 tok=52
[   115s] seed=0 I_caps                     0/3 tok=199
[   117s] seed=0 I_caps__ctrl               0/1 tok=42
[   119s] seed=0 I_persona                  1/5 tok=193
[   121s] seed=0 I_persona__ctrl            0/2 tok=38
[   124s] seed=0 K_day                      0/1 tok=350
[   125s] seed=0 K_day__ctrl                1/1 tok=62
[   129s] seed=0 K_time                     0/1 tok=326
[   130s] seed=0 K_time__ctrl               0/1 tok=64
[   137s] seed=0 K_color                    0/1 tok=543
[   138s] seed=0 K_color__ctrl              0/1 tok=60
[   140s] seed=0 O_second_item              0/1 tok=170
[   141s] seed=0 O_last_item                0/1 tok=141
[   142s] seed=0 O_add10                    1/2 tok=127
[   143s] seed=0 O_add10__ctrl              0/1 tok=44
[   145s] seed=0 RI_identity                0/2 tok=136
[   149s] seed=0 RI_binding                 0/1 tok=362
[   151s] seed=0 RI_binding__ctrl           0/1 tok=47
[   156s] seed=0 T_party                    0/1 tok=522
[   158s] seed=0 T_party__ctrl              0/1 tok=62
[   165s] seed=0 T_dragon                   0/2 tok=568
[   167s] seed=0 T_dragon__ctrl             2/2 tok=62
[   187s] seed=0 L_tell_more                0/0 tok=1108
[   191s] seed=0 L_chitchat                 0/1 tok=382
[   195s] seed=1 R_d2_name                  1/1 tok=420
[   196s] seed=1 R_d2_name__ctrl            0/1 tok=61
[   201s] seed=1 R_d2_number                0/1 tok=397
[   202s] seed=1 R_d2_number__ctrl          0/1 tok=52
[   210s] seed=1 R_d4_pet                   1/1 tok=783
[   211s] seed=1 R_d4_pet__ctrl             1/1 tok=51
[   220s] seed=1 R_d4_city                  0/1 tok=699
[   221s] seed=1 R_d4_city__ctrl            0/1 tok=49
[   232s] seed=1 R_d6_name                  0/1 tok=953
[   233s] seed=1 R_d6_name__ctrl            0/1 tok=49
[   247s] seed=1 R_d6_number                1/1 tok=1065
[   249s] seed=1 R_d6_number__ctrl          1/1 tok=57
[   271s] seed=1 R_d10_pet                  0/1 tok=1523
[   273s] seed=1 R_d10_pet__ctrl            1/1 tok=49
[   286s] seed=1 R_d5_multi                 0/3 tok=939
[   288s] seed=1 R_d5_multi__ctrl           3/3 tok=68
[   288s] seed=1 F_ellipsis_capital         2/2 tok=60
[   288s] seed=1 F_ellipsis_capital__ctrl   1/1 tok=37
[   290s] seed=1 F_translate                0/2 tok=118
[   292s] seed=1 F_translate__ctrl          0/1 tok=41
[   293s] seed=1 F_coref_she                0/1 tok=118
[   294s] seed=1 F_coref_she__ctrl          0/1 tok=50
[   295s] seed=1 F_whynot                   0/1 tok=106
[   297s] seed=1 F_whynot__ctrl             1/1 tok=42
[   298s] seed=1 F_shorter                  1/1 tok=132
[   298s] seed=1 F_shorter__ctrl            0/1 tok=42
[   301s] seed=1 I_one_sentence             0/3 tok=262
[   302s] seed=1 I_one_sentence__ctrl       1/1 tok=40
[   303s] seed=1 I_end_question             3/3 tok=209
[   304s] seed=1 I_end_question__ctrl       0/1 tok=52
[   308s] seed=1 I_caps                     0/3 tok=380
[   309s] seed=1 I_caps__ctrl               0/1 tok=42
[   313s] seed=1 I_persona                  1/5 tok=363
[   315s] seed=1 I_persona__ctrl            0/2 tok=38
[   318s] seed=1 K_day                      0/1 tok=340
[   319s] seed=1 K_day__ctrl                0/1 tok=62
[   324s] seed=1 K_time                     0/1 tok=354
[   324s] seed=1 K_time__ctrl               0/1 tok=64
[   329s] seed=1 K_color                    0/1 tok=408
[   331s] seed=1 K_color__ctrl              0/1 tok=60
[   332s] seed=1 O_second_item              0/1 tok=184
[   334s] seed=1 O_last_item                0/1 tok=187
[   335s] seed=1 O_add10                    1/2 tok=135
[   337s] seed=1 O_add10__ctrl              0/1 tok=44
[   338s] seed=1 RI_identity                0/2 tok=116
[   340s] seed=1 RI_binding                 0/1 tok=253
[   340s] seed=1 RI_binding__ctrl           0/1 tok=47
[   343s] seed=1 T_party                    0/1 tok=258
[   344s] seed=1 T_party__ctrl              1/1 tok=62
[   352s] seed=1 T_dragon                   1/2 tok=597
[   354s] seed=1 T_dragon__ctrl             2/2 tok=62
[   371s] seed=1 L_tell_more                0/0 tok=1109
[   377s] seed=1 L_chitchat                 0/1 tok=532
done HuggingFaceTB/SmolLM2-135M-Instruct in 377s -> /Users/brohm/Documents/Projects/maxgpt-nano/research/probe/transcripts/HuggingFaceTB__SmolLM2-135M-Instruct__sampled.jsonl
